Donor_ID,Chromosome,Loc_start,Loc_end,Total_CN,Major_CN,Minor_CN
DO46325,1,1,12127532,1,1,0
DO46325,1,12127533,15057336,1,1,0
DO46325,1,15057337,15389538,0,0,0
DO46325,1,19358389,43686837,2,1,1
DO46325,1,43692126,49218822,2,1,1
DO46325,1,49218823,49223012,2,1,1
DO46325,1,50478818,57447189,2,1,1
DO46325,1,57447190,60410989,3,2,1
DO46325,2,8907429,33976557,2,1,1
DO46325,2,33978439,70870219,2,1,1
DO46325,2,70870220,70870501,2,1,1
DO46325,2,70878197,72960610,2,1,1
DO46325,2,72960611,73594837,2,1,1
DO46325,2,73597220,74797312,2,1,1
DO46325,2,74797313,74798583,2,1,1
DO46325,2,74798584,90499999,2,1,1
DO46325,2,90500000,96799999,2,1,1
DO46325,2,96800000,136610211,2,1,1
DO46325,2,136612168,146841035,2,1,1
DO46325,2,146841036,147222615,1,1,0
DO46325,2,147222616,150370013,2,1,1
DO46325,2,150382502,197505177,2,1,1
DO46325,2,197505178,197511131,2,1,1
DO46325,2,197511132,198667052,2,1,1
DO46325,2,198670893,203567434,2,1,1
DO46325,2,203567435,203602490,2,1,1
DO46325,2,203602491,239623006,2,1,1
DO46325,3,60596,4748138,2,1,1
DO46325,3,4775111,61967978,2,1,1
DO46325,3,61967979,62037589,1,1,0
DO46325,3,62037590,65669424,2,1,1
DO46325,3,65690439,67898994,2,1,1
DO46325,3,67925353,87899999,2,1,1
DO46325,3,87900000,93899999,2,1,1
DO46325,3,93900000,99760362,2,1,1
DO46325,3,99760363,99799621,2,1,1
DO46325,3,99799622,116165108,2,1,1
DO46325,3,116463041,116512500,1,1,0
DO46325,3,116512501,116577536,1,1,0
DO46325,3,116878505,117086079,2,1,1
DO46325,3,117086080,122692891,3,2,1
DO46325,3,122692892,126640541,4,2,2
DO46325,3,126640542,129224838,5,3,2
DO46325,3,129224839,129231501,5,3,2
DO46325,3,129231502,129428070,5,3,2
DO46325,3,129561937,135638768,5,3,2
DO46325,3,145589318,147263343,3,3,0
DO46325,3,147263344,147264348,3,3,0
DO46325,3,147264349,168598011,3,3,0
DO46325,3,168598012,175118996,4,4,0
DO46325,3,175118997,184545706,3,3,0
DO46325,3,184545707,184629950,3,3,0
DO46325,3,184629951,188934829,3,3,0
DO46325,3,188934830,189602604,4,4,0
DO46325,3,189602605,195369000,3,3,0
DO46325,4,14309875,14809547,3,2,1
DO46325,4,16214453,17241513,3,2,1
DO46325,4,17241514,21954101,2,1,1
DO46325,4,21954102,22016421,2,1,1
DO46325,4,22016422,25017261,2,1,1
DO46325,4,25017262,27942572,1,1,0
DO46325,4,27942573,40118137,2,1,1
DO46325,4,40129972,44513583,2,1,1
DO46325,4,44515091,48199999,2,1,1
DO46325,4,48200000,52699999,2,1,1
DO46325,4,52700000,76868325,2,1,1
DO46325,4,76874620,86810010,2,1,1
DO46325,4,86810011,106765444,1,1,0
DO46325,4,106765445,106769459,1,1,0
DO46325,4,106769460,142708433,1,1,0
DO46325,4,142966869,162887680,1,1,0
DO46325,5,31016861,46099999,2,1,1
DO46325,5,50700000,53219254,2,1,1
DO46325,5,53612248,62537059,2,1,1
DO46325,5,62541811,75247672,2,1,1
DO46325,5,75247673,105874495,3,2,1
DO46325,5,105878480,108126442,3,2,1
DO46325,5,108126443,108128752,3,2,1
DO46325,5,108128753,112793094,3,2,1
DO46325,5,113430519,113494996,5,4,1
DO46325,5,113494997,155333903,3,2,1
DO46325,5,155333904,155337785,3,2,1
DO46325,5,155494610,156007457,3,2,1
DO46325,5,156315094,162141285,2,2,0
DO46325,5,162141286,162147662,2,2,0
DO46325,6,26684403,29314954,2,1,1
DO46325,6,58700000,63299999,2,1,1
DO46325,6,63300000,65212813,2,1,1
DO46325,6,65212814,65212904,2,1,1
DO46325,6,65212905,91308069,2,1,1
DO46325,6,91315699,108870035,2,1,1
DO46325,6,109311968,125438201,2,1,1
DO46325,6,125524529,138548181,2,1,1
DO46325,6,138548182,157470992,1,1,0
DO46325,6,157470993,157492332,1,1,0
DO46325,6,157492333,168344155,1,1,0
DO46325,7,40386,10701372,1,1,0
DO46325,7,73928910,89234199,3,2,1
DO46325,7,89341505,92299027,3,2,1
DO46325,7,92299028,92303954,3,2,1
DO46325,7,92303955,101223034,3,2,1
DO46325,7,101251264,106572522,3,2,1
DO46325,7,106578453,110185656,3,2,1
DO46325,8,156331,26240150,1,1,0
DO46325,9,26555469,27073946,2,1,1
DO46325,9,27073947,27079055,2,1,1
DO46325,9,27079218,47299999,2,1,1
DO46325,9,66248020,75613466,2,1,1
DO46325,9,75613467,75671055,3,2,1
DO46325,9,75671056,131018595,2,1,1
DO46325,9,131028875,140273200,2,1,1
DO46325,10,95096,23482479,2,1,1
DO46325,10,23482480,23485902,2,1,1
DO46325,10,23485903,33755447,2,1,1
DO46325,10,33755448,33766511,2,1,1
DO46325,10,33766512,37999999,2,1,1
DO46325,10,42300000,50552046,2,1,1
DO46325,10,50552047,50560194,2,1,1
DO46325,10,50560195,60675975,2,1,1
