chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,2,2.00027325815938,2,SA01-Library-8-8
10,1,1.34e+08,2,2.00672400310411,2,SA01-Library-8-8
11,1,135500000,2,2.00108835653432,2,SA01-Library-8-8
12,1,133500000,2,2.01144897467207,2,SA01-Library-8-8
13,1,114500000,2,2.01323105277242,2,SA01-Library-8-8
14,1,107500000,2,2.02896801793326,2,SA01-Library-8-8
15,1,1.02e+08,2,1.99832464138621,2,SA01-Library-8-8
16,1,3.5e+07,1,0.992321493097862,2,SA01-Library-8-8
16,35000001,90500000,2,2.00446496815796,2,SA01-Library-8-8
17,1,83500000,2,2.00624204484871,2,SA01-Library-8-8
18,1,80500000,2,1.99121828465507,2,SA01-Library-8-8
19,1,5.9e+07,2,1.97953960196331,2,SA01-Library-8-8
2,1,242500000,2,2.00126345717565,2,SA01-Library-8-8
20,1,64500000,2,2.0099235317786,2,SA01-Library-8-8
21,1,4.7e+07,2,1.99044566068992,2,SA01-Library-8-8
22,1,5.1e+07,2,1.97459233693103,2,SA01-Library-8-8
3,1,198500000,2,1.99005136136787,2,SA01-Library-8-8
4,1,190500000,2,1.99648655283714,2,SA01-Library-8-8
5,1,1.82e+08,2,1.98432294153546,2,SA01-Library-8-8
6,1,1.71e+08,2,2.00544153219112,2,SA01-Library-8-8
7,1,159500000,2,2.0114771259908,2,SA01-Library-8-8
8,1,145500000,2,2.01503567283405,2,SA01-Library-8-8
9,1,138500000,2,2.01295509421406,2,SA01-Library-8-8
X,1,156500000,2,1.98756829994868,2,SA01-Library-8-8
