chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,2,1.9902580842559,2,SA01-Library-5-5
10,1,1.34e+08,2,1.9956543494929,2,SA01-Library-5-5
11,1,135500000,2,1.98910714241136,2,SA01-Library-5-5
12,1,133500000,2,2.00286065185168,2,SA01-Library-5-5
13,1,114500000,2,1.98617136422641,2,SA01-Library-5-5
14,1,107500000,2,2.02340935727464,2,SA01-Library-5-5
15,1,1.02e+08,2,2.00186578483027,2,SA01-Library-5-5
16,1,90500000,2,2.01526859923111,2,SA01-Library-5-5
17,1,83500000,2,1.99344847311117,2,SA01-Library-5-5
18,1,80500000,2,2.00405434698361,2,SA01-Library-5-5
19,1,5.9e+07,2,2.00166283234844,2,SA01-Library-5-5
2,1,242500000,2,2.00263431616397,2,SA01-Library-5-5
20,1,64500000,2,1.96599336416284,2,SA01-Library-5-5
21,1,4.7e+07,2,2.0557298633949,2,SA01-Library-5-5
22,1,5.1e+07,2,1.99368388909999,2,SA01-Library-5-5
3,1,198500000,2,1.99519054580101,2,SA01-Library-5-5
4,1,190500000,2,2.00015436367414,2,SA01-Library-5-5
5,1,1.82e+08,2,2.0028183518527,2,SA01-Library-5-5
6,1,1.71e+08,2,2.00481465901921,2,SA01-Library-5-5
7,1,159500000,2,2.00841487953187,2,SA01-Library-5-5
8,1,145500000,2,1.99600537418275,2,SA01-Library-5-5
9,1,138500000,2,2.01160209840856,2,SA01-Library-5-5
X,1,156500000,2,2.01481375932997,2,SA01-Library-5-5
