chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,2,2.00368133999394,2,SA01-Library-3-3
10,1,1.34e+08,2,2.00051408516247,2,SA01-Library-3-3
11,1,135500000,2,2.00811292978177,2,SA01-Library-3-3
12,1,133500000,2,1.99096595101102,2,SA01-Library-3-3
13,1,114500000,2,1.99920956648776,2,SA01-Library-3-3
14,1,107500000,2,1.99879244717262,2,SA01-Library-3-3
15,1,1.02e+08,2,2.00837841428088,2,SA01-Library-3-3
16,1,90500000,2,1.99930758288925,2,SA01-Library-3-3
17,1,83500000,1,1.01862322926738,2,SA01-Library-3-3
18,1,80500000,2,2.02232717333594,2,SA01-Library-3-3
19,1,5.9e+07,2,1.98769791725689,2,SA01-Library-3-3
2,1,242500000,2,1.97792298050991,2,SA01-Library-3-3
20,1,64500000,2,1.99600989193229,2,SA01-Library-3-3
21,1,4.7e+07,2,2.03504363578924,2,SA01-Library-3-3
22,1,5.1e+07,2,1.98190017448573,2,SA01-Library-3-3
3,1,198500000,2,2.00573442318821,2,SA01-Library-3-3
4,1,190500000,2,1.99513812364401,2,SA01-Library-3-3
5,1,1.82e+08,2,2.01029214039441,2,SA01-Library-3-3
6,1,1.71e+08,2,2.01104602267667,2,SA01-Library-3-3
7,1,159500000,2,2.00819679140803,2,SA01-Library-3-3
8,1,145500000,2,2.00091755785092,2,SA01-Library-3-3
9,1,138500000,2,2.00356215243963,2,SA01-Library-3-3
X,1,156500000,2,1.9980852848883,2,SA01-Library-3-3
