chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,2,2.00973299214427,2,SA01-Library-2-2
10,1,1.34e+08,2,2.00752997382456,2,SA01-Library-2-2
11,1,135500000,2,2.00319380758902,2,SA01-Library-2-2
12,1,133500000,2,1.99894716144364,2,SA01-Library-2-2
13,1,114500000,2,2.01627707861168,2,SA01-Library-2-2
14,1,107500000,2,1.99818785866216,2,SA01-Library-2-2
15,1,1.02e+08,2,2.00562466164833,2,SA01-Library-2-2
16,1,90500000,2,2.00330757185022,2,SA01-Library-2-2
17,1,83500000,2,1.99497363020404,2,SA01-Library-2-2
18,1,80500000,2,1.99912174630013,2,SA01-Library-2-2
19,1,5.9e+07,2,2.00280738125613,2,SA01-Library-2-2
2,1,242500000,2,1.99756506304307,2,SA01-Library-2-2
20,1,64500000,2,2.0218271129667,2,SA01-Library-2-2
21,1,4.7e+07,2,2.01026124738863,2,SA01-Library-2-2
22,1,5.1e+07,2,1.95902559808766,2,SA01-Library-2-2
3,1,198500000,2,2.01069112086165,2,SA01-Library-2-2
4,1,190500000,2,2.00597576097397,2,SA01-Library-2-2
5,1,1.82e+08,2,2.00935050766466,2,SA01-Library-2-2
6,1,1.71e+08,2,2.00736432677404,2,SA01-Library-2-2
7,1,159500000,2,1.99405181279929,2,SA01-Library-2-2
8,1,145500000,2,1.98810196447769,2,SA01-Library-2-2
9,1,138500000,2,1.99177660377804,2,SA01-Library-2-2
X,1,156500000,2,1.99369732984818,2,SA01-Library-2-2
