chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,2,1.98629414056039,2,SA01-Library-1-1
10,1,1.34e+08,2,1.96806700073826,2,SA01-Library-1-1
11,1,135500000,2,1.98347870871729,2,SA01-Library-1-1
12,1,133500000,2,2.0044842513728,2,SA01-Library-1-1
13,1,114500000,2,2.01515212570382,2,SA01-Library-1-1
14,1,107500000,2,1.98166858549556,2,SA01-Library-1-1
15,1,1.02e+08,2,1.96490576161633,2,SA01-Library-1-1
16,1,90500000,2,2.00915734046777,2,SA01-Library-1-1
17,1,83500000,2,1.97967905591436,2,SA01-Library-1-1
18,1,80500000,2,2.04064386578618,2,SA01-Library-1-1
19,1,5.9e+07,2,1.99160931111872,2,SA01-Library-1-1
2,1,242500000,2,1.9976730812585,2,SA01-Library-1-1
20,1,64500000,2,1.97379563888266,2,SA01-Library-1-1
21,1,4.7e+07,2,2.03804839014694,2,SA01-Library-1-1
22,1,5.1e+07,2,2.0200160569773,2,SA01-Library-1-1
3,1,198500000,2,2.00932710503785,2,SA01-Library-1-1
4,1,4.9e+07,2,2.01171697724426,2,SA01-Library-1-1
4,49000001,190500000,1,1.00056760675292,2,SA01-Library-1-1
5,1,1.82e+08,2,2.00640945871364,2,SA01-Library-1-1
6,1,1.71e+08,2,2.00826350173517,2,SA01-Library-1-1
7,1,159500000,2,1.99833636585367,2,SA01-Library-1-1
8,1,145500000,2,2.01178176528578,2,SA01-Library-1-1
9,1,138500000,2,1.99920930817769,2,SA01-Library-1-1
X,1,156500000,2,1.99849280381232,2,SA01-Library-1-1
