chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,2,2.02307581050716,2,SA01-Library-7-7
10,1,1.34e+08,2,1.9882868955874,2,SA01-Library-7-7
11,1,135500000,2,2.02104674781798,2,SA01-Library-7-7
12,1,133500000,2,1.99801080449931,2,SA01-Library-7-7
13,1,114500000,2,2.01804087657002,2,SA01-Library-7-7
14,1,107500000,2,2.00228134260389,2,SA01-Library-7-7
15,1,1.02e+08,2,2.0344627771897,2,SA01-Library-7-7
16,1,90500000,2,2.01650240500321,2,SA01-Library-7-7
17,1,83500000,1,0.996243536655912,2,SA01-Library-7-7
18,1,80500000,2,1.99376788466142,2,SA01-Library-7-7
19,1,5.9e+07,2,1.98713656739016,2,SA01-Library-7-7
2,1,242500000,2,2.00435610547243,2,SA01-Library-7-7
20,1,64500000,2,2.01489656011897,2,SA01-Library-7-7
21,1,4.7e+07,2,2.01040983797033,2,SA01-Library-7-7
22,1,5.1e+07,2,1.94751270282496,2,SA01-Library-7-7
3,1,198500000,2,1.98577640319597,2,SA01-Library-7-7
4,1,190500000,2,1.99021586006381,2,SA01-Library-7-7
5,1,1.82e+08,2,2.0062039392803,2,SA01-Library-7-7
6,1,1.71e+08,2,2.00007532109267,2,SA01-Library-7-7
7,1,159500000,2,2.00981803767078,2,SA01-Library-7-7
8,1,145500000,2,1.99529839488719,2,SA01-Library-7-7
9,1,138500000,2,1.99882993511764,2,SA01-Library-7-7
X,1,156500000,2,2.00186471779181,2,SA01-Library-7-7
