start,end,chr,reads,gc,map,cor_gc,copy,valid,ideal,modal_curve,modal_quantile,cor_map,multiplier,state,cell_id
1,500000,1,0,-1,-1,NA,NA,FALSE,FALSE,NA,NA,NA,2,2,SA01-Library-2-2
500001,1000000,1,0,-1,-1,NA,NA,FALSE,FALSE,NA,NA,NA,2,2,SA01-Library-2-2
1000001,1500000,1,272,0.598332,0.982072,1.03596414355671,2.01389255772043,TRUE,FALSE,262.557349780621,35,NA,2,2,SA01-Library-2-2
1500001,2000000,1,262,0.539498,0.963004,1.1060902819385,2.15021629929695,TRUE,FALSE,236.870357038873,35,NA,2,2,SA01-Library-2-2
2000001,2500000,1,279,0.594508,0.997066,1.06939330683062,2.07887814968988,TRUE,FALSE,260.895592124919,35,NA,2,2,SA01-Library-2-2
2500001,3000000,1,0,-1,-1,NA,NA,FALSE,FALSE,NA,NA,NA,2,2,SA01-Library-2-2
3000001,3500000,1,263,0.584572,0.996989,1.02505047770462,1.99267662030246,TRUE,FALSE,256.57273053414,35,NA,2,2,SA01-Library-2-2
3500001,4000000,1,0,-1,-1,NA,NA,FALSE,FALSE,NA,NA,NA,2,2,SA01-Library-2-2
4000001,4500000,1,207,0.482574,0.996234,0.977462743467199,1.90016706346539,TRUE,TRUE,211.772777411179,35,NA,2,2,SA01-Library-2-2
4500001,5000000,1,210,0.481828,0.999002,0.993178882919631,1.93071890879344,TRUE,TRUE,211.442272496437,35,NA,2,2,SA01-Library-2-2
5000001,5500000,1,210,0.447446,0.997099,1.0705274025808,2.08108280803181,TRUE,TRUE,196.164992594993,35,NA,2,2,SA01-Library-2-2
5500001,6000000,1,223,0.49113,0.997494,1.03451263558939,2.01107085668857,TRUE,TRUE,215.560441050534,35,NA,2,2,SA01-Library-2-2
6000001,6500000,1,244,0.545072,0.997854,1.0195767634791,1.9820358347015,TRUE,TRUE,239.31498710053,35,NA,2,2,SA01-Library-2-2
6500001,7000000,1,214,0.489968,0.999179,0.995134290988701,1.93452018104992,TRUE,TRUE,215.04635297753,35,NA,2,2,SA01-Library-2-2
7000001,7500000,1,193,0.470672,0.99554,0.934648073285494,1.81693624300074,TRUE,TRUE,206.494835346488,35,NA,2,2,SA01-Library-2-2
7500001,8000000,1,208,0.48825,0.998566,0.970664929903002,1.88695225653327,TRUE,TRUE,214.286097696746,35,NA,2,2,SA01-Library-2-2
8000001,8500000,1,206,0.462702,0.998576,1.01500501539396,1.97314845235173,TRUE,TRUE,202.954662169865,35,NA,2,2,SA01-Library-2-2
8500001,9000000,1,212,0.42601,0.997957,1.13614600632568,2.20864399685454,TRUE,TRUE,186.595735776612,35,NA,2,2,SA01-Library-2-2
9000001,9500000,1,259,0.506692,0.999332,1.16438158746943,2.26353337413847,TRUE,FALSE,222.435671250083,35,NA,2,2,SA01-Library-2-2
9500001,10000000,1,201,0.497248,0.999216,0.920896826667425,1.79020410811388,TRUE,TRUE,218.265493136062,35,NA,2,2,SA01-Library-2-2
10000001,10500000,1,186,0.445162,0.999742,0.953127574212766,1.85286000505301,TRUE,TRUE,195.147013927938,35,NA,2,2,SA01-Library-2-2
10500001,11000000,1,231,0.511386,0.999463,1.02892603277442,2.00021061803843,TRUE,TRUE,224.505933995203,35,NA,2,2,SA01-Library-2-2
11000001,11500000,1,214,0.480212,0.996129,1.01553587391239,1.9741804301727,TRUE,TRUE,210.726184566536,35,NA,2,2,SA01-Library-2-2
11500001,12000000,1,254,0.519874,0.9993,1.11283747979343,2.16333271035233,TRUE,FALSE,228.245367910459,35,NA,2,2,SA01-Library-2-2
12000001,12500000,1,210,0.476294,0.998406,1.00483651099528,1.95338109316367,TRUE,TRUE,208.989221333127,35,NA,2,2,SA01-Library-2-2
