chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,2,2.0020287808935,2,SA01-Library-10-10
10,1,1.34e+08,2,2.00064154491548,2,SA01-Library-10-10
11,1,135500000,2,2.01092756366001,2,SA01-Library-10-10
12,1,133500000,2,1.99777368704003,2,SA01-Library-10-10
13,1,114500000,2,2.00479007248278,2,SA01-Library-10-10
14,1,107500000,2,2.00759985636269,2,SA01-Library-10-10
15,1,1.02e+08,2,2.0035529566228,2,SA01-Library-10-10
16,1,90500000,2,2.00136064938816,2,SA01-Library-10-10
17,1,83500000,1,1.02383439239042,2,SA01-Library-10-10
18,1,80500000,2,1.98869519949598,2,SA01-Library-10-10
19,1,5.9e+07,2,1.99355739559351,2,SA01-Library-10-10
2,1,242500000,2,1.9970544266368,2,SA01-Library-10-10
20,1,64500000,2,1.98028303800352,2,SA01-Library-10-10
21,1,4.7e+07,2,2.00545272971342,2,SA01-Library-10-10
22,1,5.1e+07,2,2.00562296598689,2,SA01-Library-10-10
3,1,198500000,2,2.00370390390676,2,SA01-Library-10-10
4,1,190500000,2,1.98175809548783,2,SA01-Library-10-10
5,1,1.82e+08,2,2.01944212048171,2,SA01-Library-10-10
6,1,1.71e+08,2,1.99164387788476,2,SA01-Library-10-10
7,1,159500000,2,1.9911168848717,2,SA01-Library-10-10
8,1,145500000,2,2.00466765032909,2,SA01-Library-10-10
9,1,138500000,2,1.99198712548307,2,SA01-Library-10-10
X,1,156500000,2,2.02618982431181,2,SA01-Library-10-10
