chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,2,2.02961900923806,2,SA01-Library-4-4
10,1,1.34e+08,2,2.00359090472539,2,SA01-Library-4-4
11,1,135500000,2,1.99065266676627,2,SA01-Library-4-4
12,1,133500000,2,2.00323917043702,2,SA01-Library-4-4
13,1,114500000,2,1.98468849353585,2,SA01-Library-4-4
14,1,107500000,2,2.01182483801625,2,SA01-Library-4-4
15,1,1.02e+08,2,1.99990673686616,2,SA01-Library-4-4
16,1,90500000,2,1.99025909401209,2,SA01-Library-4-4
17,1,83500000,2,1.99740295389143,2,SA01-Library-4-4
18,1,80500000,2,2.00170060840612,2,SA01-Library-4-4
19,1,5.9e+07,2,2.00172673320792,2,SA01-Library-4-4
2,1,242500000,2,1.99944735153616,2,SA01-Library-4-4
20,1,64500000,2,1.97832499512278,2,SA01-Library-4-4
21,1,4.7e+07,2,1.98335701820294,2,SA01-Library-4-4
22,1,5.1e+07,2,2.00958847301909,2,SA01-Library-4-4
3,1,198500000,2,1.99813396440387,2,SA01-Library-4-4
4,1,190500000,2,2.0014461050908,2,SA01-Library-4-4
5,1,1.82e+08,2,1.99023879440575,2,SA01-Library-4-4
6,1,1.71e+08,2,1.9926288434065,2,SA01-Library-4-4
7,1,159500000,2,2.00984489777819,2,SA01-Library-4-4
8,1,145500000,2,1.9875029849482,2,SA01-Library-4-4
9,1,138500000,2,2.0143000377427,2,SA01-Library-4-4
X,1,156500000,2,2.01358998910253,2,SA01-Library-4-4
