chr,start,end,width,gc,map,reads,valid,ideal,modal_quantile,modal_curve,cor_gc,copy,cor_map,cell_id
1,1,500000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-2-2
1,500001,1000000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-2-2
1,1000001,1500000,500000,0.598332,0.982072,272,True,False,35,262.5573497806214,1.0359641435567062,1.0359641435567062,NA,SA01-Library-2-2
1,1500001,2000000,500000,0.539498,0.963004,262,True,False,35,236.8703570388729,1.1060902819384997,1.1060902819384997,NA,SA01-Library-2-2
1,2000001,2500000,500000,0.594508,0.997066,279,True,False,35,260.8955921249194,1.0693933068306192,1.0693933068306192,NA,SA01-Library-2-2
1,2500001,3000000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-2-2
1,3000001,3500000,500000,0.584572,0.996989,263,True,False,35,256.57273053414025,1.0250504777046232,1.0250504777046232,NA,SA01-Library-2-2
1,3500001,4000000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-2-2
1,4000001,4500000,500000,0.482574,0.996234,207,True,True,35,211.77277741117945,0.9774627434671993,0.9774627434671993,NA,SA01-Library-2-2
1,4500001,5000000,500000,0.481828,0.999002,210,True,True,35,211.44227249643745,0.9931788829196312,0.9931788829196312,NA,SA01-Library-2-2
1,5000001,5500000,500000,0.447446,0.997099,210,True,True,35,196.16499259499292,1.0705274025808018,1.0705274025808018,NA,SA01-Library-2-2
1,5500001,6000000,500000,0.49113,0.997494,223,True,True,35,215.5604410505341,1.034512635589393,1.034512635589393,NA,SA01-Library-2-2
1,6000001,6500000,500000,0.545072,0.997854,244,True,True,35,239.3149871005296,1.0195767634790978,1.0195767634790978,NA,SA01-Library-2-2
1,6500001,7000000,500000,0.489968,0.999179,214,True,True,35,215.04635297752978,0.9951342909887009,0.9951342909887009,NA,SA01-Library-2-2
1,7000001,7500000,500000,0.470672,0.99554,193,True,True,35,206.49483534648755,0.9346480732854945,0.9346480732854945,NA,SA01-Library-2-2
1,7500001,8000000,500000,0.48825,0.998566,208,True,True,35,214.2860976967462,0.970664929903002,0.970664929903002,NA,SA01-Library-2-2
1,8000001,8500000,500000,0.462702,0.998576,206,True,True,35,202.95466216986537,1.0150050153939592,1.0150050153939592,NA,SA01-Library-2-2
1,8500001,9000000,500000,0.42601,0.997957,212,True,True,35,186.5957357766124,1.13614600632568,1.13614600632568,NA,SA01-Library-2-2
1,9000001,9500000,500000,0.506692,0.999332,259,True,False,35,222.43567125008326,1.1643815874694292,1.1643815874694292,NA,SA01-Library-2-2
1,9500001,10000000,500000,0.497248,0.999216,201,True,True,35,218.26549313606182,0.9208968266674251,0.9208968266674251,NA,SA01-Library-2-2
1,10000001,10500000,500000,0.445162,0.999742,186,True,True,35,195.1470139279375,0.9531275742127663,0.9531275742127663,NA,SA01-Library-2-2
1,10500001,11000000,500000,0.511386,0.999463,231,True,True,35,224.50593399520324,1.0289260327744187,1.0289260327744187,NA,SA01-Library-2-2
1,11000001,11500000,500000,0.480212,0.996129,214,True,True,35,210.72618456653606,1.0155358739123863,1.0155358739123863,NA,SA01-Library-2-2
1,11500001,12000000,500000,0.519874,0.9993,254,True,False,35,228.24536791045864,1.1128374797934344,1.1128374797934344,NA,SA01-Library-2-2
1,12000001,12500000,500000,0.476294,0.998406,210,True,True,35,208.98922133312686,1.0048365109952822,1.0048365109952822,NA,SA01-Library-2-2
1,12500001,13000000,500000,0.462062,0.982103,208,True,True,35,202.67017780679686,1.0262980091638545,1.0262980091638545,NA,SA01-Library-2-2
1,13000001,13500000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-2-2
1,13500001,14000000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-2-2
1,14000001,14500000,500000,0.4314,0.996742,195,True,True,35,189.00509777942736,1.031718203852728,1.031718203852728,NA,SA01-Library-2-2
1,14500001,15000000,500000,0.431124,0.996247,200,True,True,35,188.8817765120167,1.0588633995999923,1.0588633995999923,NA,SA01-Library-2-2
1,15000001,15500000,500000,0.494934,0.999853,203,True,True,35,217.24269281985684,0.9344387945344277,0.9344387945344277,NA,SA01-Library-2-2
1,15500001,16000000,500000,0.472726,0.998952,206,True,True,35,207.40643221210894,0.9932189556654124,0.9932189556654124,NA,SA01-Library-2-2
1,16000001,16500000,500000,0.513082,0.997441,227,True,True,35,225.253543302223,1.0077532928990767,1.0077532928990767,NA,SA01-Library-2-2
1,16500001,17000000,500000,0.479312,0.985594,210,True,True,35,210.3272892005572,0.998443905202215,0.998443905202215,NA,SA01-Library-2-2
1,17000001,17500000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-2-2
1,17500001,18000000,500000,0.513392,0.999589,199,True,True,35,225.3901705146403,0.8829133921218356,0.8829133921218356,NA,SA01-Library-2-2
1,18000001,18500000,500000,0.494528,0.999523,214,True,True,35,217.06319768395892,0.985887991531301,0.985887991531301,NA,SA01-Library-2-2
1,18500001,19000000,500000,0.488698,0.999556,214,True,True,35,214.48436931153734,0.9977417034486378,0.9977417034486378,NA,SA01-Library-2-2
1,19000001,19500000,500000,0.49686,0.999692,229,True,True,35,218.09402279850815,1.0500058509699168,1.0500058509699168,NA,SA01-Library-2-2
1,19500001,20000000,500000,0.477782,0.998335,185,True,True,35,209.64902912847484,0.8824271725419263,0.8824271725419263,NA,SA01-Library-2-2
1,20000001,20500000,500000,0.462494,0.999567,211,True,True,35,202.86220808590826,1.0401148739870048,1.0401148739870048,NA,SA01-Library-2-2
1,20500001,21000000,500000,0.485118,0.99975,215,True,True,35,212.89955064177178,1.0098659172924347,1.0098659172924347,NA,SA01-Library-2-2
1,21000001,21500000,500000,0.41547,0.995106,182,True,True,35,181.87806330953418,1.0006704309923198,1.0006704309923198,NA,SA01-Library-2-2
1,21500001,22000000,500000,0.505598,0.997961,221,True,True,35,221.9529336523891,0.9957065958232318,0.9957065958232318,NA,SA01-Library-2-2
1,22000001,22500000,500000,0.48992,0.992288,210,True,True,35,215.02511482638351,0.9766301028117533,0.9766301028117533,NA,SA01-Library-2-2
1,22500001,23000000,500000,0.493016,0.999995,224,True,True,35,216.39462543698536,1.0351458570084928,1.0351458570084928,NA,SA01-Library-2-2
1,23000001,23500000,500000,0.47373,0.998816,215,True,True,35,207.8519089716605,1.0343903073284457,1.0343903073284457,NA,SA01-Library-2-2
1,23500001,24000000,500000,0.472092,0.999129,214,True,True,35,207.1250866422285,1.033192084402826,1.033192084402826,NA,SA01-Library-2-2
1,24000001,24500000,500000,0.473276,0.917174,194,True,True,35,207.6504775505015,0.9342622385870427,0.9342622385870427,NA,SA01-Library-2-2
1,24500001,25000000,500000,0.456138,0.999192,197,True,True,35,200.0354766170519,0.9848253086483103,0.9848253086483103,NA,SA01-Library-2-2
1,25000001,25500000,500000,0.482684,0.99398,213,True,True,35,211.82150788610423,1.005563609312655,1.005563609312655,NA,SA01-Library-2-2
1,25500001,26000000,500000,0.465824,0.98842,191,True,True,35,204.34197666529226,0.934707606909636,0.934707606909636,NA,SA01-Library-2-2
1,26000001,26500000,500000,0.487938,0.999261,233,True,True,35,214.14800688114087,1.0880325406405609,1.0880325406405609,NA,SA01-Library-2-2
1,26500001,27000000,500000,0.48615,0.997855,226,True,True,35,213.35650096495277,1.059259966196784,1.059259966196784,NA,SA01-Library-2-2
1,27000001,27500000,500000,0.492838,0.996179,217,True,True,35,216.3159066959432,1.0031624734144882,1.0031624734144882,NA,SA01-Library-2-2
1,27500001,28000000,500000,0.498338,0.998121,236,True,True,35,218.74714126740633,1.0788712420771844,1.0788712420771844,NA,SA01-Library-2-2
1,28000001,28500000,500000,0.444136,0.99659,190,True,True,35,194.68959977937362,0.9759124278611289,0.9759124278611289,NA,SA01-Library-2-2
1,28500001,29000000,500000,0.460588,0.998864,205,True,True,35,202.0148591399032,1.0147768380643203,1.0147768380643203,NA,SA01-Library-2-2
1,29000001,29500000,500000,0.449012,0.99845,210,True,True,35,196.8627349985631,1.066733122454754,1.066733122454754,NA,SA01-Library-2-2
1,29500001,30000000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-2-2
1,30000001,30500000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-2-2
1,30500001,31000000,500000,0.481586,0.990276,199,True,True,35,211.33504889390224,0.9416327345678716,0.9416327345678716,NA,SA01-Library-2-2
1,31000001,31500000,500000,0.479274,0.995912,196,True,True,35,210.31044562922725,0.9319556116843751,0.9319556116843751,NA,SA01-Library-2-2
1,31500001,32000000,500000,0.46007,0.998933,224,True,True,35,201.7845256912029,1.1100950344566765,1.1100950344566765,NA,SA01-Library-2-2
1,32000001,32500000,500000,0.488656,0.998856,197,True,True,35,214.46578198035246,0.9185614515328486,0.9185614515328486,NA,SA01-Library-2-2
1,32500001,33000000,500000,0.475456,0.999334,210,True,True,35,208.61756370585317,1.0066266534302741,1.0066266534302741,NA,SA01-Library-2-2
1,33000001,33500000,500000,0.469764,0.997896,211,True,True,35,206.09175115649626,1.023815843263793,1.023815843263793,NA,SA01-Library-2-2
1,33500001,34000000,500000,0.465568,0.994841,215,True,True,35,204.22824587738134,1.0527437038708447,1.0527437038708447,NA,SA01-Library-2-2
1,34000001,34500000,500000,0.452504,0.995746,201,True,True,35,198.41796500296743,1.013013110970037,1.013013110970037,NA,SA01-Library-2-2
1,34500001,35000000,500000,0.439524,0.989484,209,True,True,35,192.6325004228022,1.0849674875281863,1.0849674875281863,NA,SA01-Library-2-2
1,35000001,35500000,500000,0.452928,0.988414,179,True,True,35,198.6067400284894,0.901278576821326,0.901278576821326,NA,SA01-Library-2-2
1,35500001,36000000,500000,0.413266,0.997992,180,True,True,35,180.89051732725702,0.9950770369811816,0.9950770369811816,NA,SA01-Library-2-2
1,36000001,36500000,500000,0.434636,0.999594,183,True,True,35,190.45057327454774,0.9608792289440514,0.9608792289440514,NA,SA01-Library-2-2
1,36500001,37000000,500000,0.486274,0.999791,225,True,True,35,213.41140053007314,1.054301688856092,1.054301688856092,NA,SA01-Library-2-2
1,37000001,37500000,500000,0.48945,0.998553,211,True,True,35,214.8171488963406,0.9822307068315922,0.9822307068315922,NA,SA01-Library-2-2
1,37500001,38000000,500000,0.47098,0.996122,223,True,True,35,206.63155044827135,1.0792156353481284,1.0792156353481284,NA,SA01-Library-2-2
1,38000001,38500000,500000,0.475414,0.998645,200,True,True,35,208.59893510256398,0.9587776653877161,0.9587776653877161,NA,SA01-Library-2-2
1,38500001,39000000,500000,0.45753,0.99888,181,True,True,35,200.65480320543017,0.9020466846970635,0.9020466846970635,NA,SA01-Library-2-2
1,39000001,39500000,500000,0.44863,0.997265,219,True,True,35,196.6925489718397,1.1134127914085552,1.1134127914085552,NA,SA01-Library-2-2
