chr,start,end,width,gc,map,reads,valid,ideal,modal_quantile,modal_curve,cor_gc,copy,cor_map,cell_id
1,1,500000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-8-8
1,500001,1000000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-8-8
1,1000001,1500000,500000,0.598332,0.982072,286,True,False,59,276.06414619538634,1.0359911054787299,1.0359911054787299,NA,SA01-Library-8-8
1,1500001,2000000,500000,0.539498,0.963004,247,True,True,59,248.73506756100699,0.9930244352836118,0.9930244352836118,NA,SA01-Library-8-8
1,2000001,2500000,500000,0.594508,0.997066,310,True,False,59,274.284586538438,1.1302129802928493,1.1302129802928493,NA,SA01-Library-8-8
1,2500001,3000000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-8-8
1,3000001,3500000,500000,0.584572,0.996989,273,True,False,59,269.6628331738413,1.0123753310268284,1.0123753310268284,NA,SA01-Library-8-8
1,3500001,4000000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-8-8
1,4000001,4500000,500000,0.482574,0.996234,252,True,True,59,222.39554689263065,1.1331162135259027,1.1331162135259027,NA,SA01-Library-8-8
1,4500001,5000000,500000,0.481828,0.999002,208,True,True,59,222.05103056951484,0.9367216151464064,0.9367216151464064,NA,SA01-Library-8-8
1,5000001,5500000,500000,0.447446,0.997099,194,True,True,59,206.19155771057441,0.9408726630423571,0.9408726630423571,NA,SA01-Library-8-8
1,5500001,6000000,500000,0.49113,0.997494,235,True,True,59,226.34809887870648,1.0382238736006784,1.0382238736006784,NA,SA01-Library-8-8
1,6000001,6500000,500000,0.545072,0.997854,240,True,True,59,251.31964478427096,0.9549591724356145,0.9549591724356145,NA,SA01-Library-8-8
1,6500001,7000000,500000,0.489968,0.999179,216,True,True,59,225.81116489968764,0.9565514623510929,0.9565514623510929,NA,SA01-Library-8-8
1,7000001,7500000,500000,0.470672,0.99554,194,True,True,59,216.90104973749382,0.894417063609374,0.894417063609374,NA,SA01-Library-8-8
1,7500001,8000000,500000,0.48825,0.998566,235,True,True,59,225.01739271238256,1.0443637141435427,1.0443637141435427,NA,SA01-Library-8-8
1,8000001,8500000,500000,0.462702,0.998576,228,True,True,59,213.22419999410891,1.0692970122823737,1.0692970122823737,NA,SA01-Library-8-8
1,8500001,9000000,500000,0.42601,0.997957,181,True,True,59,196.3223024797964,0.9219533273282936,0.9219533273282936,NA,SA01-Library-8-8
1,9000001,9500000,500000,0.506692,0.999332,238,True,True,59,233.54299002084568,1.019084323527572,1.019084323527572,NA,SA01-Library-8-8
1,9500001,10000000,500000,0.497248,0.999216,234,True,True,59,229.17578036358503,1.0210503030850877,1.0210503030850877,NA,SA01-Library-8-8
1,10000001,10500000,500000,0.445162,0.999742,203,True,True,59,205.13931185692476,0.9895714193561455,0.9895714193561455,NA,SA01-Library-8-8
1,10500001,11000000,500000,0.511386,0.999463,237,True,True,59,235.7146774498361,1.005452874483972,1.005452874483972,NA,SA01-Library-8-8
1,11000001,11500000,500000,0.480212,0.996129,223,True,True,59,221.30479175752677,1.0076600611717914,1.0076600611717914,NA,SA01-Library-8-8
1,11500001,12000000,500000,0.519874,0.9993,227,True,True,59,239.64340346635106,0.947240761550416,0.947240761550416,NA,SA01-Library-8-8
1,12000001,12500000,500000,0.476294,0.998406,216,True,True,59,219.49586881203757,0.9840731908488392,0.9840731908488392,NA,SA01-Library-8-8
1,12500001,13000000,500000,0.462062,0.982103,200,True,True,59,212.92903039021792,0.9392800955016611,0.9392800955016611,NA,SA01-Library-8-8
1,13000001,13500000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-8-8
1,13500001,14000000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-8-8
1,14000001,14500000,500000,0.4314,0.996742,179,True,True,59,198.8025456100863,0.9003908850899462,0.9003908850899462,NA,SA01-Library-8-8
1,14500001,15000000,500000,0.431124,0.996247,218,True,True,59,198.67552051523273,1.0972665350751434,1.0972665350751434,NA,SA01-Library-8-8
1,15000001,15500000,500000,0.494934,0.999853,238,True,True,59,228.10613483260835,1.0433739547366934,1.0433739547366934,NA,SA01-Library-8-8
1,15500001,16000000,500000,0.472726,0.998952,224,True,True,59,217.84895412565876,1.0282353702317673,1.0282353702317673,NA,SA01-Library-8-8
1,16000001,16500000,500000,0.513082,0.997441,231,True,True,59,236.49950317647975,0.9767462379302508,0.9767462379302508,NA,SA01-Library-8-8
1,16500001,17000000,500000,0.479312,0.985594,254,True,False,59,220.88922362737554,1.14989765380533,1.14989765380533,NA,SA01-Library-8-8
1,17000001,17500000,500000,-1.0,-1.0,0,False,False,NA,NA,NA,NA,NA,SA01-Library-8-8
1,17500001,18000000,500000,0.513392,0.999589,233,True,True,59,236.64296565024563,0.9846056457235671,0.9846056457235671,NA,SA01-Library-8-8
1,18000001,18500000,500000,0.494528,0.999523,215,True,True,59,227.9184786539226,0.9433197398902511,0.9433197398902511,NA,SA01-Library-8-8
1,18500001,19000000,500000,0.488698,0.999556,208,True,True,59,225.22437452768253,0.9235234882378796,0.9235234882378796,NA,SA01-Library-8-8
1,19000001,19500000,500000,0.49686,0.999692,224,True,True,59,228.99641591986745,0.9781812483841851,0.9781812483841851,NA,SA01-Library-8-8
1,19500001,20000000,500000,0.477782,0.998335,205,True,True,59,220.1828155491651,0.9310445026724854,0.9310445026724854,NA,SA01-Library-8-8
