chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,1,1.00101439044675,1,SA01-Library-10-10
10,1,1.34e+08,1,1.00032077245774,1,SA01-Library-10-10
11,1,135500000,1,1.00546378183,1,SA01-Library-10-10
12,1,133500000,1,0.998886843520015,1,SA01-Library-10-10
13,1,114500000,1,1.00239503624139,1,SA01-Library-10-10
14,1,107500000,1,1.00379992818134,1,SA01-Library-10-10
15,1,1.02e+08,1,1.0017764783114,1,SA01-Library-10-10
16,1,90500000,1,1.00068032469408,1,SA01-Library-10-10
17,1,83500000,0,0.511917196195212,1,SA01-Library-10-10
18,1,80500000,1,0.994347599747988,1,SA01-Library-10-10
19,1,5.9e+07,1,0.996778697796753,1,SA01-Library-10-10
2,1,242500000,1,0.9985272133184,1,SA01-Library-10-10
20,1,64500000,1,0.990141519001758,1,SA01-Library-10-10
21,1,4.7e+07,1,1.00272636485671,1,SA01-Library-10-10
22,1,5.1e+07,1,1.00281148299344,1,SA01-Library-10-10
3,1,198500000,1,1.00185195195338,1,SA01-Library-10-10
4,1,190500000,1,0.990879047743913,1,SA01-Library-10-10
5,1,1.82e+08,1,1.00972106024086,1,SA01-Library-10-10
6,1,1.71e+08,1,0.995821938942381,1,SA01-Library-10-10
7,1,159500000,1,0.995558442435851,1,SA01-Library-10-10
8,1,145500000,1,1.00233382516455,1,SA01-Library-10-10
9,1,138500000,1,0.995993562741535,1,SA01-Library-10-10
X,1,156500000,1,1.01309491215591,1,SA01-Library-10-10
