"Chromosome","Strand","Bin_start","Bin_end","Allele","Clone"
"1",1,1,498,"A",1
"2",1,1,485,"A",1
"3",1,1,397,"A",1
"4",1,1,381,"A",1
"5",1,1,364,"A",1
"6",1,1,342,"A",1
"7",1,1,319,"A",1
"8",1,1,291,"A",1
"9",1,1,277,"A",1
"10",1,1,268,"A",1
"11",1,1,271,"A",1
"12",1,1,267,"A",1
"13",1,1,229,"A",1
"14",1,1,215,"A",1
"15",1,1,204,"A",1
"16",1,1,181,"A",1
"17",1,1,167,"A",1
"18",1,1,161,"A",1
"19",1,1,118,"A",1
"20",1,1,129,"A",1
"21",1,1,94,"A",1
"22",1,1,102,"A",1
"X",1,1,313,"A",1
"1",2,1,498,"B",1
"2",2,1,485,"B",1
"3",2,1,397,"B",1
"4",2,1,381,"B",1
"5",2,1,364,"B",1
"6",2,1,342,"B",1
"7",2,1,319,"B",1
"8",2,1,291,"B",1
"9",2,1,277,"B",1
"10",2,1,268,"B",1
"11",2,1,271,"B",1
"12",2,1,267,"B",1
"13",2,1,229,"B",1
"14",2,1,215,"B",1
"15",2,1,204,"B",1
"16",2,1,181,"B",1
"17",2,1,167,"B",1
"18",2,1,161,"B",1
"19",2,1,118,"B",1
"20",2,1,129,"B",1
"21",2,1,94,"B",1
"22",2,1,102,"B",1
"X",2,1,313,"B",1
"1",1,1,498,"A",2
"2",1,1,485,"A",2
"3",1,1,397,"A",2
"4",1,1,381,"A",2
"5",1,1,364,"A",2
"6",1,1,342,"A",2
"7",1,1,319,"A",2
"8",1,1,291,"A",2
"9",1,1,277,"A",2
"10",1,1,268,"A",2
"11",1,1,271,"A",2
"12",1,1,267,"A",2
"13",1,1,229,"A",2
"14",1,1,215,"A",2
"15",1,1,204,"A",2
"16",1,1,181,"A",2
"17",1,1,167,"A",2
"18",1,1,161,"A",2
"19",1,1,118,"A",2
"20",1,1,129,"A",2
"21",1,1,94,"A",2
"22",1,1,102,"A",2
"X",1,1,313,"A",2
"1",2,1,498,"B",2
"2",2,1,485,"B",2
"3",2,1,397,"B",2
"4",2,1,381,"B",2
"5",2,1,364,"B",2
"6",2,1,342,"B",2
"7",2,1,319,"B",2
"8",2,1,291,"B",2
"9",2,1,277,"B",2
"10",2,1,268,"B",2
"11",2,1,271,"B",2
"12",2,1,267,"B",2
"13",2,1,229,"B",2
"14",2,1,215,"B",2
"15",2,1,204,"B",2
"16",2,1,181,"B",2
"17",2,1,167,"B",2
"18",2,1,161,"B",2
"19",2,1,118,"B",2
"20",2,1,129,"B",2
"21",2,1,94,"B",2
"22",2,1,102,"B",2
"X",2,1,313,"B",2
