chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,3,3.00304317134025,3,SA01-Library-10-10
10,1,1.34e+08,3,3.00096231737322,3,SA01-Library-10-10
11,1,135500000,3,3.01639134549001,3,SA01-Library-10-10
12,1,133500000,3,2.99666053056005,3,SA01-Library-10-10
13,1,114500000,3,3.00718510872418,3,SA01-Library-10-10
14,1,107500000,3,3.01139978454403,3,SA01-Library-10-10
15,1,1.02e+08,3,3.0053294349342,3,SA01-Library-10-10
16,1,90500000,3,3.00204097408224,3,SA01-Library-10-10
17,1,83500000,2,1.53575158858564,3,SA01-Library-10-10
18,1,80500000,3,2.98304279924397,3,SA01-Library-10-10
19,1,5.9e+07,3,2.99033609339026,3,SA01-Library-10-10
2,1,242500000,3,2.9955816399552,3,SA01-Library-10-10
20,1,64500000,3,2.97042455700527,3,SA01-Library-10-10
21,1,4.7e+07,3,3.00817909457013,3,SA01-Library-10-10
22,1,5.1e+07,3,3.00843444898033,3,SA01-Library-10-10
3,1,198500000,3,3.00555585586014,3,SA01-Library-10-10
4,1,190500000,3,2.97263714323174,3,SA01-Library-10-10
5,1,1.82e+08,3,3.02916318072257,3,SA01-Library-10-10
6,1,1.71e+08,3,2.98746581682714,3,SA01-Library-10-10
7,1,159500000,3,2.98667532730755,3,SA01-Library-10-10
8,1,145500000,3,3.00700147549364,3,SA01-Library-10-10
9,1,138500000,3,2.98798068822461,3,SA01-Library-10-10
X,1,156500000,3,3.03928473646772,3,SA01-Library-10-10
