"chr","start","end","reads","gc","map","true_CN","valid","ideal","cor.gc","cor.map","copy_log2","multiplier","copy","state"
"1",1000001,1500000,243,0.598332,0.982072,2,TRUE,FALSE,NA,NA,NA,2,NA,5
"1",1500001,2e+06,229,0.539498,0.963004,2,TRUE,TRUE,0.963058561901233,0.959224634551984,-0.060059384749058,2,4.81521848234125,5
"1",2000001,2500000,252,0.594508,0.997066,2,TRUE,FALSE,NA,NA,NA,2,NA,5
"1",3000001,3500000,275,0.584572,0.996989,2,TRUE,FALSE,NA,NA,NA,2,NA,5
"1",4000001,4500000,259,0.482574,0.996234,2,TRUE,FALSE,1.19975286412728,1.20099612984319,0.264231502030201,2,5.99867172582179,5
"1",4500001,5e+06,212,0.481828,0.999002,2,TRUE,TRUE,0.98338329875249,0.983355916614875,-0.0242144136221013,2,4.91684059797011,5
"1",5000001,5500000,223,0.447446,0.997099,2,TRUE,TRUE,1.10931875133169,1.11009914560674,0.150688532870424,2,5.54650814138952,5
"1",5500001,6e+06,202,0.49113,0.997494,2,TRUE,TRUE,0.920163124515103,0.920670687226017,-0.119242880877142,2,4.60074460600497,5
"1",6000001,6500000,216,0.545072,0.997854,2,TRUE,TRUE,0.902452024465463,0.902824927197902,-0.147481842675371,2,4.5121904726683,5
"1",6500001,7e+06,228,0.489968,0.999179,2,TRUE,TRUE,1.04103798379034,1.04093823915869,0.0578844733417279,2,5.20510957347225,5
"1",7000001,7500000,249,0.470672,0.99554,2,TRUE,TRUE,1.17436465849138,1.17589534944532,0.233759671097444,2,5.87173265705931,5
"1",7500001,8e+06,207,0.48825,0.998566,2,TRUE,TRUE,0.948298790215237,0.948431189998889,-0.0763849869843325,2,4.74142076304447,5
"1",8000001,8500000,247,0.462702,0.998576,2,TRUE,TRUE,1.18481709708241,1.18497796762649,0.244860235248854,2,5.92399404331364,5
"1",8500001,9e+06,204,0.42601,0.997957,2,TRUE,TRUE,1.06175929212345,1.06215598945062,0.0869956575552781,2,5.30871451590368,5
"1",9000001,9500000,227,0.506692,0.999332,2,TRUE,TRUE,1.00348160317006,1.00332650796879,0.00479117202488372,2,5.0173305689062,5
"1",9500001,1e+07,220,0.497248,0.999216,2,TRUE,TRUE,0.989002023596459,0.988893214115055,-0.0161133552825754,2,4.94493378854666,5
"1",10000001,10500000,200,0.445162,0.999742,2,TRUE,TRUE,1.0001155533781,0.999803574570568,-0.000283409828305473,2,5.00050057973219,5
"1",10500001,1.1e+07,250,0.511386,0.999463,2,TRUE,TRUE,1.09721343017334,1.09698866696585,0.133548621277452,2,5.48598246986513,5
"1",11000001,11500000,215,0.480212,0.996129,2,TRUE,TRUE,0.999792408792804,1.00086886360731,0.00125296097016374,2,4.99888488174545,5
"1",11500001,1.2e+07,239,0.519874,0.9993,2,TRUE,TRUE,1.03711296586911,1.03696541451045,0.0523677773272862,2,5.18548478679205,5
"1",12000001,12500000,205,0.476294,0.998406,2,TRUE,TRUE,0.958058150056185,0.958250802722179,-0.0615247933222306,2,4.79021680903899,5
"1",12500001,1.3e+07,197,0.462062,0.982103,2,TRUE,TRUE,0.946403847189245,0.947518837506317,-0.077773469274561,2,4.73194619416288,5
"1",14000001,14500000,203,0.4314,0.996742,2,TRUE,TRUE,1.0446428498401,1.04552119193899,0.0642223045821432,2,5.22313362550381,5
"1",14500001,1.5e+07,183,0.431124,0.996247,2,TRUE,TRUE,0.942274026034081,0.943245760488744,-0.084294384172794,2,4.71129740711939,5
"1",15000001,15500000,218,0.494934,0.999853,2,TRUE,TRUE,0.984559922331851,0.984210852982332,-0.0229606696025443,2,4.92272362505718,5
"1",15500001,1.6e+07,214,0.472726,0.998952,2,TRUE,TRUE,1.00601324547118,1.00600455030103,0.00863683067214759,2,5.02998858502408,5
"1",16000001,16500000,204,0.513082,0.997441,2,TRUE,TRUE,0.893169251346342,0.893680124635194,-0.16216955562866,2,4.46577732350079,5
"1",16500001,1.7e+07,228,0.479312,0.985594,2,TRUE,TRUE,1.06148361612717,1.06275562073906,0.0878098891732096,2,5.30733615719847,5
"1",17500001,1.8e+07,218,0.513392,0.999589,2,TRUE,TRUE,0.954079717689705,0.953838128645695,-0.0681836408313317,2,4.770324954255,5
"1",18000001,18500000,222,0.494528,0.999523,2,TRUE,TRUE,1.00353175974181,1.00330307296894,0.00475747416814837,2,5.01758134789396,5
"1",18500001,1.9e+07,218,0.488698,0.999556,2,TRUE,TRUE,0.997816419873773,0.99757639558198,-0.00350076602662222,2,4.98900508965364,5
"1",19000001,19500000,240,0.49686,0.999692,2,TRUE,TRUE,1.07966814338954,1.07935206833767,0.110165526917408,2,5.39825739006049,5
"1",19500001,2e+07,230,0.477782,0.998335,2,TRUE,TRUE,1.0727930384278,1.07303802748764,0.10170120479499,2,5.36388239586033,5
"1",20000001,20500000,222,0.462494,0.999567,2,TRUE,TRUE,1.06542336305845,1.0651625772363,0.0910736477955843,2,5.32703458779212,5
"1",20500001,2.1e+07,213,0.485118,0.99975,2,TRUE,TRUE,0.981848812322836,0.981539516978203,-0.0268817428343954,2,4.9091682842508,5
"1",21000001,21500000,199,0.41547,0.995106,2,TRUE,TRUE,1.06093509139111,1.06249525945685,0.0874564043813067,2,5.30459357585235,5
"1",21500001,2.2e+07,238,0.505598,0.997961,2,TRUE,TRUE,1.05388769026324,1.05427982640609,0.0762578371726195,2,5.26935711411899,5
"1",22000001,22500000,226,0.48992,0.992288,2,TRUE,TRUE,1.03200016878101,1.03306522752421,0.0469313485445042,2,5.15992119594822,5
"1",22500001,2.3e+07,205,0.493016,0.999995,2,TRUE,TRUE,0.92989630043752,0.929515938895113,-0.10544849088539,2,4.64940973442766,5
"1",23000001,23500000,213,0.47373,0.998816,2,TRUE,TRUE,0.999690089513652,0.99973366497387,-0.000384291398814971,2,4.99837329324651,5
"1",23500001,2.4e+07,226,0.472092,0.999129,2,TRUE,TRUE,1.06348990353138,1.06340842568532,0.0886958024589793,2,5.31736743937776,5
"1",24000001,24500000,216,0.473276,0.917174,2,TRUE,TRUE,1.01452160041993,1.00925913718646,0.0132966481153554,2,5.072529703108,5
"1",24500001,2.5e+07,207,0.456138,0.999192,2,TRUE,TRUE,1.00847736324022,1.00837570438837,0.0120332637090638,2,5.04230898369302,5
"1",25000001,25500000,219,0.482684,0.99398,2,TRUE,TRUE,1.01425433726896,1.01567046481496,0.0224323943404601,2,5.07119340798002,5
"1",25500001,2.6e+07,189,0.465824,0.98842,2,TRUE,TRUE,0.899821416511109,0.900276806028151,-0.151559443128708,2,4.49903763592222,5
"1",26000001,26500000,196,0.487938,0.999261,2,TRUE,TRUE,0.898457149698709,0.898342778376891,-0.154662059380627,2,4.49221640715193,5
"1",26500001,2.7e+07,209,0.48615,0.997855,2,TRUE,TRUE,0.961446753611913,0.961843664045677,-0.056125674317018,2,4.80715956529117,5
"1",27000001,27500000,218,0.492838,0.996179,2,TRUE,TRUE,0.989270094481349,0.990316183294502,-0.0140388795500617,2,4.94627412228187,5
"1",27500001,2.8e+07,213,0.498338,0.998121,2,TRUE,TRUE,0.955610255701869,0.955907064337885,-0.0650577322632768,2,4.77797752619159,5
"1",28000001,28500000,194,0.444136,0.99659,2,TRUE,TRUE,0.972329054954948,0.973203453774995,-0.0391866546611475,2,4.86157023212949,5
"1",28500001,2.9e+07,199,0.460588,0.998864,2,TRUE,TRUE,0.959181814109777,0.959205940854963,-0.0600875007563149,2,4.79583504258454,5
"1",29000001,29500000,200,0.449012,0.99845,2,TRUE,TRUE,0.991159321292404,0.991341875046378,-0.0125454225635475,2,4.95572011052995,5
"1",30500001,3.1e+07,214,0.481586,0.990276,2,TRUE,TRUE,0.993076458925266,0.99367161806341,-0.00915893652485192,2,4.96530565073295,5
"1",31000001,31500000,224,0.479274,0.995912,2,TRUE,TRUE,1.04291039402586,1.04412038175341,0.0622880568756185,2,5.21447148014049,5
