"Chromosome","Strand","Bin","Allele","Clone"
"1",1,1,"A",1
"1",1,2,"A",1
"1",1,3,"A",1
"1",1,4,"A",1
"1",1,5,"A",1
"1",1,6,"A",1
"1",1,7,"A",1
"1",1,8,"A",1
"1",1,9,"A",1
"1",1,10,"A",1
"1",1,11,"A",1
"1",1,12,"A",1
"1",1,13,"A",1
"1",1,14,"A",1
"1",1,15,"A",1
"1",1,16,"A",1
"1",1,17,"A",1
"1",1,18,"A",1
"1",1,19,"A",1
"1",1,20,"A",1
"1",1,21,"A",1
"1",1,22,"A",1
"1",1,23,"A",1
"1",1,24,"A",1
"1",1,25,"A",1
"1",1,26,"A",1
"1",1,27,"A",1
"1",1,28,"A",1
"1",1,29,"A",1
"1",1,30,"A",1
"1",1,31,"A",1
"1",1,32,"A",1
"1",1,33,"A",1
"1",1,34,"A",1
"1",1,35,"A",1
"1",1,36,"A",1
"1",1,37,"A",1
"1",1,38,"A",1
"1",1,39,"A",1
"1",1,40,"A",1
"1",1,41,"A",1
"1",1,42,"A",1
"1",1,43,"A",1
"1",1,44,"A",1
"1",1,45,"A",1
"1",1,46,"A",1
"1",1,47,"A",1
"1",1,48,"A",1
"1",1,49,"A",1
"1",1,50,"A",1
"1",1,51,"A",1
"1",1,52,"A",1
"1",1,53,"A",1
"1",1,54,"A",1
"1",1,55,"A",1
"1",1,56,"A",1
"1",1,57,"A",1
"1",1,58,"A",1
"1",1,59,"A",1
"1",1,60,"A",1
"1",1,61,"A",1
"1",1,62,"A",1
"1",1,63,"A",1
"1",1,64,"A",1
"1",1,65,"A",1
"1",1,66,"A",1
"1",1,67,"A",1
"1",1,68,"A",1
"1",1,69,"A",1
"1",1,70,"A",1
"1",1,71,"A",1
"1",1,72,"A",1
"1",1,73,"A",1
"1",1,74,"A",1
"1",1,75,"A",1
"1",1,76,"A",1
"1",1,77,"A",1
"1",1,78,"A",1
"1",1,79,"A",1
"1",1,80,"A",1
"1",1,81,"A",1
"1",1,82,"A",1
"1",1,83,"A",1
"1",1,84,"A",1
"1",1,85,"A",1
"1",1,86,"A",1
"1",1,87,"A",1
"1",1,88,"A",1
"1",1,89,"A",1
"1",1,90,"A",1
"1",1,91,"A",1
"1",1,92,"A",1
"1",1,93,"A",1
"1",1,94,"A",1
"1",1,95,"A",1
"1",1,96,"A",1
"1",1,97,"A",1
"1",1,98,"A",1
"1",1,99,"A",1
"1",1,100,"A",1
"1",1,101,"A",1
"1",1,102,"A",1
"1",1,103,"A",1
"1",1,104,"A",1
"1",1,105,"A",1
"1",1,106,"A",1
"1",1,107,"A",1
"1",1,108,"A",1
"1",1,109,"A",1
"1",1,110,"A",1
"1",1,111,"A",1
"1",1,112,"A",1
"1",1,113,"A",1
"1",1,114,"A",1
"1",1,115,"A",1
"1",1,116,"A",1
"1",1,117,"A",1
"1",1,118,"A",1
"1",1,119,"A",1
"1",1,120,"A",1
"1",1,121,"A",1
"1",1,122,"A",1
"1",1,123,"A",1
"1",1,124,"A",1
"1",1,125,"A",1
"1",1,126,"A",1
"1",1,127,"A",1
"1",1,128,"A",1
"1",1,129,"A",1
"1",1,130,"A",1
"1",1,131,"A",1
"1",1,132,"A",1
"1",1,133,"A",1
"1",1,134,"A",1
"1",1,135,"A",1
"1",1,136,"A",1
"1",1,137,"A",1
"1",1,138,"A",1
"1",1,139,"A",1
"1",1,140,"A",1
"1",1,141,"A",1
"1",1,142,"A",1
"1",1,143,"A",1
"1",1,144,"A",1
"1",1,145,"A",1
"1",1,146,"A",1
"1",1,147,"A",1
"1",1,148,"A",1
"1",1,149,"A",1
"1",1,150,"A",1
"1",1,151,"A",1
"1",1,152,"A",1
"1",1,153,"A",1
"1",1,154,"A",1
"1",1,155,"A",1
"1",1,156,"A",1
"1",1,157,"A",1
"1",1,158,"A",1
"1",1,159,"A",1
"1",1,160,"A",1
"1",1,161,"A",1
"1",1,162,"A",1
"1",1,163,"A",1
"1",1,164,"A",1
"1",1,165,"A",1
"1",1,166,"A",1
"1",1,167,"A",1
"1",1,168,"A",1
"1",1,169,"A",1
"1",1,170,"A",1
"1",1,171,"A",1
"1",1,172,"A",1
"1",1,173,"A",1
