"Gene_ID","Gene_role","Selective_strength","Chromosome","Bin","s_rate_WT","s_rate_MUT"
"TP53","TSG",0.07,17,15,0.934579439252336,1
"BRCA1","TSG",0.04,17,86,0.961538461538461,1
"BRCA2","TSG",0.04,13,65,0.961538461538461,1
"MSH2","TSG",0.02,2,95,0.980392156862745,1
"MSH6","TSG",0.02,2,96,0.980392156862745,1
"ARID1A","TSG",0.02,1,53,0.980392156862745,1
"STK11","TSG",0.02,19,2,0.980392156862745,1
"BRAF","ONCOGENE",0.02,7,281,1.07377407605035,1.09524955757135
"MLH1","TSG",0.02,3,74,0.980392156862745,1
"PIK3R1","TSG",0.02,5,136,0.980392156862745,1
"ERBB2","ONCOGENE",0.02,17,79,1.07377407605035,1.09524955757135
"CTNNB1","ONCOGENE",0.02,3,82,1.07377407605035,1.09524955757135
"AKT1","ONCOGENE",0.02,14,210,1.07377407605035,1.09524955757135
"PPP2R1A","TSG",0.02,19,104,0.980392156862745,1
