"chr","start","end","gc","map"
"1",1000001,1500000,0.598332,0.982072
"1",1500001,2000000,0.539498,0.963004
"1",2000001,2500000,0.594508,0.997066
"1",3000001,3500000,0.584572,0.996989
"1",4000001,4500000,0.482574,0.996234
"1",4500001,5000000,0.481828,0.999002
"1",5000001,5500000,0.447446,0.997099
"1",5500001,6000000,0.49113,0.997494
"1",6000001,6500000,0.545072,0.997854
"1",6500001,7000000,0.489968,0.999179
"1",7000001,7500000,0.470672,0.99554
"1",7500001,8000000,0.48825,0.998566
"1",8000001,8500000,0.462702,0.998576
"1",8500001,9000000,0.42601,0.997957
"1",9000001,9500000,0.506692,0.999332
"1",9500001,10000000,0.497248,0.999216
"1",10000001,10500000,0.445162,0.999742
"1",10500001,11000000,0.511386,0.999463
"1",11000001,11500000,0.480212,0.996129
"1",11500001,12000000,0.519874,0.9993
"1",12000001,12500000,0.476294,0.998406
"1",12500001,13000000,0.462062,0.982103
"1",14000001,14500000,0.4314,0.996742
"1",14500001,15000000,0.431124,0.996247
"1",15000001,15500000,0.494934,0.999853
"1",15500001,16000000,0.472726,0.998952
"1",16000001,16500000,0.513082,0.997441
"1",16500001,17000000,0.479312,0.985594
"1",17500001,18000000,0.513392,0.999589
"1",18000001,18500000,0.494528,0.999523
"1",18500001,19000000,0.488698,0.999556
"1",19000001,19500000,0.49686,0.999692
"1",19500001,20000000,0.477782,0.998335
"1",20000001,20500000,0.462494,0.999567
"1",20500001,21000000,0.485118,0.99975
"1",21000001,21500000,0.41547,0.995106
"1",21500001,22000000,0.505598,0.997961
"1",22000001,22500000,0.48992,0.992288
"1",22500001,23000000,0.493016,0.999995
"1",23000001,23500000,0.47373,0.998816
"1",23500001,24000000,0.472092,0.999129
"1",24000001,24500000,0.473276,0.917174
"1",24500001,25000000,0.456138,0.999192
"1",25000001,25500000,0.482684,0.99398
"1",25500001,26000000,0.465824,0.98842
"1",26000001,26500000,0.487938,0.999261
"1",26500001,27000000,0.48615,0.997855
"1",27000001,27500000,0.492838,0.996179
"1",27500001,28000000,0.498338,0.998121
"1",28000001,28500000,0.444136,0.99659
"1",28500001,29000000,0.460588,0.998864
"1",29000001,29500000,0.449012,0.99845
"1",30500001,31000000,0.481586,0.990276
"1",31000001,31500000,0.479274,0.995912
"1",31500001,32000000,0.46007,0.998933
"1",32000001,32500000,0.488656,0.998856
"1",32500001,33000000,0.475456,0.999334
"1",33000001,33500000,0.469764,0.997896
"1",33500001,34000000,0.465568,0.994841
"1",34000001,34500000,0.452504,0.995746
"1",34500001,35000000,0.439524,0.989484
"1",35000001,35500000,0.452928,0.988414
"1",35500001,36000000,0.413266,0.997992
"1",36000001,36500000,0.434636,0.999594
"1",36500001,37000000,0.486274,0.999791
"1",37000001,37500000,0.48945,0.998553
"1",37500001,38000000,0.47098,0.996122
"1",38000001,38500000,0.475414,0.998645
"1",38500001,39000000,0.45753,0.99888
"1",39000001,39500000,0.44863,0.997265
"1",39500001,40000000,0.439456,0.998169
"1",40000001,40500000,0.474774,0.99749
"1",40500001,41000000,0.424226,0.991994
"1",41000001,41500000,0.469254,0.999377
"1",41500001,42000000,0.459646,0.997271
"1",42000001,42500000,0.458744,0.993945
"1",42500001,43000000,0.410184,0.992973
"1",43000001,43500000,0.444082,0.998365
"1",43500001,44000000,0.46556,0.994952
"1",44000001,44500000,0.489678,0.999805
"1",44500001,45000000,0.448976,0.999575
"1",45000001,45500000,0.4763,0.998335
"1",45500001,46000000,0.426884,0.991461
"1",46000001,46500000,0.42514,0.992621
"1",46500001,47000000,0.477598,0.994435
"1",47000001,47500000,0.432612,0.993806
"1",47500001,48000000,0.44435,0.995963
"1",48000001,48500000,0.47836,0.998098
"1",48500001,49000000,0.40629,0.98244
"1",49000001,49500000,0.42157,0.994978
"1",49500001,50000000,0.378352,0.987045
"1",50000001,50500000,0.371538,0.98492
"1",50500001,51000000,0.418322,0.998959
"1",51000001,51500000,0.382956,0.994276
"1",51500001,52000000,0.412344,0.997733
"1",52000001,52500000,0.413904,0.998198
"1",52500001,53000000,0.41308,0.997076
"1",53000001,53500000,0.431396,0.997921
"1",53500001,54000000,0.492008,0.998528
"1",54000001,54500000,0.459268,0.999284
"1",54500001,55000000,0.487852,0.998269
"1",55000001,55500000,0.48352,0.997482
"1",55500001,56000000,0.41857,0.997849
"1",56000001,56500000,0.399154,0.997716
"1",56500001,57000000,0.40812,0.990909
"1",57000001,57500000,0.402878,0.998922
"1",57500001,58000000,0.405918,0.998621
"1",58000001,58500000,0.4045,0.998451
"1",58500001,59000000,0.413974,0.978084
"1",59000001,59500000,0.422352,0.99495
"1",59500001,60000000,0.407466,0.994132
"1",60000001,60500000,0.39498,0.991859
"1",60500001,61000000,0.37483,0.988528
"1",61000001,61500000,0.399528,0.99414
"1",61500001,62000000,0.395642,0.999885
"1",62000001,62500000,0.402272,0.997222
"1",62500001,63000000,0.430326,0.999605
"1",63000001,63500000,0.385316,0.995687
"1",63500001,64000000,0.392878,0.992088
"1",64000001,64500000,0.412872,0.997637
"1",64500001,65000000,0.408236,0.992826
"1",65000001,65500000,0.4055,0.998483
"1",65500001,66000000,0.409854,0.994359
"1",66000001,66500000,0.371378,0.982608
"1",66500001,67000000,0.383796,0.992125
"1",67000001,67500000,0.372432,0.994586
"1",67500001,68000000,0.406774,0.988319
"1",68000001,68500000,0.412032,0.996549
"1",68500001,69000000,0.396932,0.998536
"1",69000001,69500000,0.373348,0.983537
"1",69500001,70000000,0.369204,0.990829
"1",70000001,70500000,0.353898,0.989137
"1",70500001,71000000,0.376878,0.997051
"1",71000001,71500000,0.377052,0.99276
"1",71500001,72000000,0.368094,0.986446
"1",72000001,72500000,0.353606,0.989156
"1",72500001,73000000,0.344518,0.998939
"1",73000001,73500000,0.350444,0.995263
"1",73500001,74000000,0.349042,0.995547
"1",74000001,74500000,0.357042,0.999693
"1",74500001,75000000,0.356602,0.98954
"1",75000001,75500000,0.37175,0.995147
"1",75500001,76000000,0.374126,0.985104
"1",76000001,76500000,0.380542,0.991098
"1",76500001,77000000,0.389622,0.996921
"1",77000001,77500000,0.386936,0.991008
"1",77500001,78000000,0.382958,0.996847
"1",78000001,78500000,0.388162,0.995439
"1",78500001,79000000,0.384694,0.992357
"1",79000001,79500000,0.360244,0.990576
"1",79500001,80000000,0.35694,0.994438
"1",80000001,80500000,0.355616,0.993634
"1",80500001,81000000,0.35124,0.992152
"1",81000001,81500000,0.351246,0.986116
"1",81500001,82000000,0.368816,0.99803
"1",82000001,82500000,0.364988,0.998756
"1",82500001,83000000,0.371044,0.988183
"1",83000001,83500000,0.36098,0.995969
"1",83500001,84000000,0.367092,0.933842
"1",84000001,84500000,0.3813,0.996867
"1",84500001,85000000,0.374536,0.98507
"1",85000001,85500000,0.403988,0.99939
"1",85500001,86000000,0.395116,0.996336
"1",86000001,86500000,0.377086,0.974024
"1",86500001,87000000,0.378056,0.990248
"1",87000001,87500000,0.38553,0.984248
"1",87500001,88000000,0.403886,0.999267
"1",88000001,88500000,0.380748,0.998117
"1",88500001,89000000,0.373594,0.994112
"1",89000001,89500000,0.38298,0.999074
"1",89500001,90000000,0.390624,0.990267
"1",90000001,90500000,0.40092,0.988575
