"Gene_ID","Gene_role","Selective_strength","Chromosome","Bin","s_rate_WT","s_rate_MUT"
"TP53","TSG",0.01,17,15,0.99009900990099,1
"BRCA1","TSG",0.005,17,86,0.995024875621891,1
"BRCA2","TSG",0.005,13,65,0.995024875621891,1
"MSH2","TSG",0.003,2,95,0.997008973080758,1
"MSH6","TSG",0.003,2,96,0.997008973080758,1
"ARID1A","TSG",0.003,1,53,0.997008973080758,1
"MLH1","TSG",0.003,3,74,0.997008973080758,1
"PIK3R1","TSG",0.003,5,136,0.997008973080758,1
"ERBB2","ONCOGENE",0.003,17,79,1,1.003
"CTNNB1","ONCOGENE",0.003,3,82,1,1.003
"PPP2R1A","TSG",0.003,19,104,0.997008973080758,1
