chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,6,6.0060863426805,6,SA01-Library-10-10
10,1,1.34e+08,6,6.00192463474643,6,SA01-Library-10-10
11,1,135500000,6,6.03278269098002,6,SA01-Library-10-10
12,1,133500000,6,5.99332106112009,6,SA01-Library-10-10
13,1,114500000,6,6.01437021744835,6,SA01-Library-10-10
14,1,107500000,6,6.02279956908807,6,SA01-Library-10-10
15,1,1.02e+08,6,6.0106588698684,6,SA01-Library-10-10
16,1,90500000,6,6.00408194816449,6,SA01-Library-10-10
17,1,83500000,3,3.07150317717127,6,SA01-Library-10-10
18,1,80500000,6,5.96608559848793,6,SA01-Library-10-10
19,1,5.9e+07,6,5.98067218678052,6,SA01-Library-10-10
2,1,242500000,6,5.9911632799104,6,SA01-Library-10-10
20,1,64500000,6,5.94084911401055,6,SA01-Library-10-10
21,1,4.7e+07,6,6.01635818914027,6,SA01-Library-10-10
22,1,5.1e+07,6,6.01686889796067,6,SA01-Library-10-10
3,1,198500000,6,6.01111171172028,6,SA01-Library-10-10
4,1,190500000,6,5.94527428646348,6,SA01-Library-10-10
5,1,1.82e+08,6,6.05832636144513,6,SA01-Library-10-10
6,1,1.71e+08,6,5.97493163365429,6,SA01-Library-10-10
7,1,159500000,6,5.97335065461511,6,SA01-Library-10-10
8,1,145500000,6,6.01400295098727,6,SA01-Library-10-10
9,1,138500000,6,5.97596137644921,6,SA01-Library-10-10
X,1,156500000,6,6.07856947293544,6,SA01-Library-10-10
