chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,4,4.004057561787,4,SA01-Library-10-10
10,1,1.34e+08,4,4.00128308983095,4,SA01-Library-10-10
11,1,135500000,4,4.02185512732002,4,SA01-Library-10-10
12,1,133500000,4,3.99554737408006,4,SA01-Library-10-10
13,1,114500000,4,4.00958014496557,4,SA01-Library-10-10
14,1,107500000,4,4.01519971272538,4,SA01-Library-10-10
15,1,1.02e+08,4,4.0071059132456,4,SA01-Library-10-10
16,1,90500000,4,4.00272129877632,4,SA01-Library-10-10
17,1,83500000,2,2.04766878478085,4,SA01-Library-10-10
18,1,80500000,4,3.97739039899195,4,SA01-Library-10-10
19,1,5.9e+07,4,3.98711479118701,4,SA01-Library-10-10
2,1,242500000,4,3.9941088532736,4,SA01-Library-10-10
20,1,64500000,4,3.96056607600703,4,SA01-Library-10-10
21,1,4.7e+07,4,4.01090545942685,4,SA01-Library-10-10
22,1,5.1e+07,4,4.01124593197378,4,SA01-Library-10-10
3,1,198500000,4,4.00740780781352,4,SA01-Library-10-10
4,1,190500000,4,3.96351619097565,4,SA01-Library-10-10
5,1,1.82e+08,4,4.03888424096342,4,SA01-Library-10-10
6,1,1.71e+08,4,3.98328775576952,4,SA01-Library-10-10
7,1,159500000,4,3.9822337697434,4,SA01-Library-10-10
8,1,145500000,4,4.00933530065818,4,SA01-Library-10-10
9,1,138500000,4,3.98397425096614,4,SA01-Library-10-10
X,1,156500000,4,4.05237964862363,4,SA01-Library-10-10
