chr,start,end,state,median,multiplier,cell_id
1,1,2.49e+08,5,5.00507195223375,5,SA01-Library-10-10
10,1,1.34e+08,5,5.00160386228869,5,SA01-Library-10-10
11,1,135500000,5,5.02731890915002,5,SA01-Library-10-10
12,1,133500000,5,4.99443421760008,5,SA01-Library-10-10
13,1,114500000,5,5.01197518120696,5,SA01-Library-10-10
14,1,107500000,5,5.01899964090672,5,SA01-Library-10-10
15,1,1.02e+08,5,5.008882391557,5,SA01-Library-10-10
16,1,90500000,5,5.00340162347041,5,SA01-Library-10-10
17,1,6.2e+07,3,2.58714631146742,5,SA01-Library-10-10
17,62000001,83500000,2,2.42614808702003,5,SA01-Library-10-10
18,1,80500000,5,4.97173799873994,5,SA01-Library-10-10
19,1,5.9e+07,5,4.98389348898376,5,SA01-Library-10-10
2,1,242500000,5,4.992636066592,5,SA01-Library-10-10
20,1,64500000,5,4.95070759500879,5,SA01-Library-10-10
21,1,4.7e+07,5,5.01363182428356,5,SA01-Library-10-10
22,1,5.1e+07,5,5.01405741496722,5,SA01-Library-10-10
3,1,198500000,5,5.0092597597669,5,SA01-Library-10-10
4,1,190500000,5,4.95439523871957,5,SA01-Library-10-10
5,1,1.82e+08,5,5.04860530120428,5,SA01-Library-10-10
6,1,1.71e+08,5,4.97910969471191,5,SA01-Library-10-10
7,1,159500000,5,4.97779221217925,5,SA01-Library-10-10
8,1,145500000,5,5.01166912582273,5,SA01-Library-10-10
9,1,138500000,5,4.97996781370768,5,SA01-Library-10-10
X,1,156500000,5,5.06547456077953,5,SA01-Library-10-10
